component,from_candidate,to_candidate,distance_mm
小腿A,1,2,93.02033495774091
连杆1改A,2,3,109.90000000000003
连杆2改A,1,4,93.01965952674917
连杆2改A,1,6,199.99965952624697
连杆2改A,4,6,106.97999999999999
连杆3A,5,7,106.98000000000003
连杆4改A,6,7,55.81000000000066
连杆5A,3,4,109.89090396461881
连杆5A,3,5,163.45263657279153
连杆5A,4,5,55.80894775729938
